time (days),0.15,0.3,0.45,0.6,0.75,0.9,1.05
0.0625,-0.008516666666666667,-0.010141666666666662,-0.009141666666666663,-0.00971666666666667,-0.010291666666666671,-0.01244166666666667,-0.014066666666666663
0.125,-0.010616666666666668,-0.011191666666666667,-0.012816666666666659,-0.01076666666666667,-0.013966666666666662,-0.018216666666666662,-0.01826666666666667
0.25,-0.014291666666666663,-0.014341666666666671,-0.01806666666666666,-0.018116666666666673,-0.01816666666666666,-0.02084166666666667,-0.021416666666666667
0.5,-0.016916666666666667,-0.014866666666666667,-0.02069166666666666,-0.02126666666666667,-0.022366666666666663,-0.02504166666666667,-0.027716666666666657
1.0,-0.02059166666666667,-0.01854166666666666,-0.022266666666666667,-0.02494166666666667,-0.027616666666666668,-0.02766666666666667,-0.03244166666666667
1.5,-0.02479166666666666,-0.01854166666666666,-0.027516666666666672,-0.029141666666666663,-0.030766666666666675,-0.03344166666666666,-0.03664166666666666
2.0,-0.02479166666666666,-0.020641666666666662,-0.03329166666666667,-0.03334166666666667,-0.033391666666666674,-0.037641666666666664,-0.04136666666666665
3.0,-0.02899166666666667,-0.025891666666666664,-0.041691666666666675,-0.039116666666666675,-0.03759166666666667,-0.041841666666666666,-0.04189166666666665
5.0,-0.03266666666666666,-0.04164166666666666,-0.04799166666666666,-0.04804166666666667,-0.048091666666666665,-0.04814166666666666,-0.04766666666666666
10.0,-0.045791666666666675,-0.05004166666666667,-0.058491666666666664,-0.056966666666666665,-0.055966666666666644,-0.052341666666666654,-0.051866666666666665
15.0,-0.05629166666666668,-0.05424166666666666,-0.07266666666666667,-0.06956666666666667,-0.06646666666666665,-0.05286666666666665,-0.05239166666666667
20.0,-0.07099166666666666,-0.06264166666666666,-0.07319166666666667,-0.07009166666666666,-0.06699166666666666,-0.06861666666666666,-0.06866666666666667
